Customer_ID,PAN,Passport_Number,Driving_Licence,Voter_ID,KYC_Status,Face_Match_Score,OCR_Match_Score,Liveness_Score,Address_Match_Score
CUST_00000109,YHRGJ9133W,Y2670412,N/A,RAS8941037,REJECTED,0.39,0.62,0.21,0.15
CUST_00000110,CIWDU7191Q,N/A,MH7920202753419,LSQ1468017,VERIFIED,0.86,0.91,0.94,0.95
CUST_00000111,PJZID2056T,N/A,TS8920105060837,FPE3677232,VERIFIED,0.89,0.99,0.82,0.77
CUST_00000112,QBXAJ3384R,V1490502,MH5120184806468,QNK7056235,VERIFIED,0.91,0.99,0.95,0.83
CUST_00000113,FVNKQ8606X,H0044637,DL1620102302032,SEY5771172,VERIFIED,0.94,0.93,0.91,0.85
CUST_00000114,XUAUH0750O,Q3453215,N/A,SFN0824319,VERIFIED,0.97,0.94,0.96,0.93
CUST_00000115,WOXTK3472C,S3591899,KA6020234736324,UIC4327723,VERIFIED,0.94,0.91,0.84,0.94
CUST_00000116,ZZUTO7190R,N/A,GJ8220230160975,YAR8715240,VERIFIED,0.85,0.99,0.84,0.88
CUST_00000117,ZSCXX5739C,S0180549,TN3820145284973,YKV3429171,VERIFIED,0.88,0.88,0.84,0.96
CUST_00000118,CLIDJ7448C,N/A,DL8820140676622,FWD7930281,VERIFIED,0.87,0.99,0.89,0.84
CUST_00000119,YWOOC1710Y,N/A,TN1720136720648,JQQ5280094,VERIFIED,0.86,0.95,0.86,0.84
CUST_00000120,DXVIB4158M,P0612128,MH7920194123585,QMW4034672,VERIFIED,0.93,0.94,0.93,0.97
CUST_00000121,ZOAJS4735K,N/A,WB3520120437265,IFX7095799,VERIFIED,0.93,0.89,0.9,0.89
CUST_00000122,CRGVX0928Z,M3881586,N/A,XAS9551984,PENDING_REVERIFICATION,0.49,0.62,0.37,0.21
CUST_00000123,IMCGF5092E,N/A,N/A,IEU8017115,VERIFIED,0.93,0.92,0.83,0.96
CUST_00000124,JBSRP3397N,Z6437586,N/A,JRV3721075,VERIFIED,0.93,0.98,0.94,0.94
CUST_00000125,WUOEI8661P,N/A,DL4320211305379,N/A,VERIFIED,0.92,0.91,0.98,0.97
CUST_00000126,GZEXC7684I,G2021037,N/A,N/A,VERIFIED,0.93,0.99,0.83,0.91
CUST_00000127,ZWMJO1486V,H1082390,N/A,N/A,VERIFIED,0.92,0.98,0.96,0.82
CUST_00000128,EJTOX0564A,N/A,WB8420127284674,ECF1677222,VERIFIED,0.87,0.89,0.93,0.83
CUST_00000129,BOVDJ4266G,N/A,KA0420132866089,QZM1748263,VERIFIED,0.96,0.92,0.92,0.95
CUST_00000130,JJEBL2851W,N/A,KA1120205767863,VKT2035969,VERIFIED,0.85,0.98,0.9,0.97
CUST_00000131,OGHKW0555T,N/A,N/A,DYL9121006,VERIFIED,0.91,0.94,0.92,0.95
CUST_00000132,FVDPI7805R,N/A,N/A,IHL8765441,VERIFIED,0.95,0.91,0.84,0.83
CUST_00000133,PTYYO1253N,I3460216,WB0520165561548,RBM2337388,REJECTED,0.68,0.54,0.35,0.41
CUST_00000134,RZFHT7376C,G4944530,N/A,UBS4755182,VERIFIED,0.91,0.99,0.97,0.86
CUST_00000135,BABJF3439V,N/A,MH3120158200481,N/A,VERIFIED,0.98,0.96,0.92,0.87
CUST_00000136,PEWPJ1876J,A3159866,TS8420168611431,AUT0966028,VERIFIED,0.96,0.92,0.83,0.97
CUST_00000137,HZQLJ3246T,N/A,N/A,N/A,VERIFIED,0.91,0.97,0.93,0.79
CUST_00000138,KCNRV3662D,N/A,UP0920154638620,QWG7821788,VERIFIED,0.93,0.95,0.83,0.95
CUST_00000139,UPRRS6924M,X0751725,UP8620158511331,N/A,VERIFIED,0.97,0.98,0.92,0.88
CUST_00000140,HEROH4775F,V8622848,GJ3420194933360,MDB6564116,VERIFIED,0.95,0.94,0.83,0.8
CUST_00000141,NKWDZ3989E,N/A,GJ9220121355792,N/A,VERIFIED,0.92,0.95,0.95,0.83
CUST_00000142,MQEQA2717P,N/A,KA1720197276471,QKZ3013038,VERIFIED,0.96,0.96,0.96,0.95
CUST_00000143,ERQGS3135F,N/A,N/A,BBY4554619,VERIFIED,0.94,0.97,0.85,0.95
CUST_00000144,MTEXV0292A,N/A,DL1620150626855,N/A,VERIFIED,0.9,0.97,0.85,0.94
CUST_00000145,JQUQP0180D,N/A,WB5720162073582,OMD6636626,VERIFIED,0.94,1.0,0.92,0.81
CUST_00000146,DVCSD1111I,N/A,TN4620216874569,HBM2930698,VERIFIED,0.96,0.94,0.97,0.83
CUST_00000147,RDCNS1229J,N/A,N/A,GBV8836418,VERIFIED,0.95,0.89,0.87,0.91
CUST_00000148,XADQI8927L,K1492387,DL1520120983924,ZVC9454676,VERIFIED,0.86,0.98,0.98,0.97
CUST_00000149,WWSXM4840U,N/A,GJ0220218804984,TOO9635706,REJECTED,0.42,0.56,0.51,0.41
CUST_00000150,GIRKV5906F,Q8880429,MH6520139235784,N/A,VERIFIED,0.91,0.9,0.95,0.91
CUST_00000151,QKGLU4841P,X6145006,TS6620183470389,RLI8883757,VERIFIED,0.89,0.99,0.84,0.85
CUST_00000152,JLCRA3675L,N/A,KA0620242754071,MVT4211828,VERIFIED,0.89,1.0,0.89,0.96
CUST_00000153,EITBQ6184S,Q1450984,DL8920192913369,SDK6853997,VERIFIED,0.9,0.98,0.9,0.97
CUST_00000154,HZZLD4772W,R8796262,N/A,IRZ6956313,VERIFIED,0.97,0.97,0.92,0.78
CUST_00000155,MORKT8288Q,D0161712,N/A,GVR2708187,VERIFIED,0.92,0.89,0.84,0.91
CUST_00000156,WTOGU7269M,N9935026,UP2920246169673,TOP7921611,REJECTED,0.4,0.66,0.32,0.3
CUST_00000157,NJLOD5237E,B1309664,GJ1020225332790,NYN7154386,VERIFIED,0.93,0.91,0.93,0.95
CUST_00000158,IHYQM5761L,N/A,UP3120244090741,YRI9935298,VERIFIED,0.88,1.0,0.84,0.86
CUST_00000159,JULBX1591Y,N/A,N/A,NAB6784157,REJECTED,0.5,0.43,0.34,0.11
CUST_00000160,ZUQYT1430B,F7552236,WB4120106534757,RNQ6757091,VERIFIED,0.95,0.98,0.85,0.79
CUST_00000161,UHCTL3645E,X3759169,GJ0220189312526,DBO3502772,PENDING_REVERIFICATION,0.32,0.57,0.48,0.49
CUST_00000162,XWDEQ2165B,N/A,N/A,WYZ4520074,VERIFIED,0.86,0.99,0.91,0.94
CUST_00000163,IDRCQ9346J,N/A,DL7320196115186,VYE3776236,VERIFIED,0.86,0.89,0.86,0.79
CUST_00000164,IMLUM1602E,N/A,TN3420211282826,N/A,VERIFIED,0.88,0.97,0.93,0.86
CUST_00000165,SXWQV5720I,N/A,N/A,OZM7327724,VERIFIED,0.99,0.96,0.85,0.91
CUST_00000166,NKNRW8615O,F1969743,TN9820173888119,BJB2934409,VERIFIED,0.97,0.97,0.94,0.85
CUST_00000167,ISNVV2516L,S6853953,GJ6320228088466,N/A,PENDING_REVERIFICATION,0.52,0.54,0.49,0.32
CUST_00000168,XAWLF5211T,N/A,N/A,SDF8744218,VERIFIED,0.93,0.99,0.85,0.89
CUST_00000169,ABOEQ0502F,N/A,N/A,NKZ6878926,VERIFIED,0.98,0.9,0.86,0.97
CUST_00000170,MMFKD5765F,X6950310,N/A,NXR8619585,VERIFIED,0.97,0.93,0.9,0.83
CUST_00000171,TCRXO0964N,N/A,GJ0620218888847,LYM7389854,VERIFIED,0.89,0.96,0.87,0.93
CUST_00000172,GTXCP5207A,S5532841,N/A,LPG5569325,VERIFIED,0.86,0.9,0.9,0.83
CUST_00000173,OEOMZ5731V,N/A,KA9620137492619,UYC5786603,VERIFIED,0.95,0.9,0.85,0.76
CUST_00000174,QUVMP0236X,N/A,WB5220198741023,HZB7140895,VERIFIED,0.96,0.95,0.96,0.8
CUST_00000175,FUNSP6369C,I7335570,KA7120149380375,XJZ2619524,VERIFIED,0.98,0.88,0.84,0.85
CUST_00000176,CBHYU9885W,N/A,UP4920198113964,UTY4450106,REJECTED,0.67,0.71,0.2,0.53
CUST_00000177,ZRFIY5082C,N/A,N/A,KTI5132517,VERIFIED,0.92,0.96,0.84,0.76
CUST_00000178,YETGG2288L,E7109408,N/A,YWJ3885217,VERIFIED,0.99,0.89,0.93,0.85
CUST_00000179,NKTDN4903V,N/A,DL5920118694040,LRA2536252,VERIFIED,0.98,0.96,0.9,0.89
CUST_00000180,MPJMF7382F,N/A,DL7420203834714,VSU5818740,VERIFIED,0.95,0.96,0.85,0.9
CUST_00000181,KDXQN3428B,M0122807,TS4720159401114,OVI4366565,VERIFIED,0.99,0.89,0.98,0.84
CUST_00000182,ZHINU4064E,N/A,N/A,WQY4649033,VERIFIED,0.97,0.93,0.87,0.9
CUST_00000183,QSPKX7975O,N/A,N/A,KEA7697011,VERIFIED,0.96,0.89,0.91,0.75
CUST_00000184,BWOAK7021U,M3226180,GJ4220237988551,MWY5195547,VERIFIED,0.9,0.93,0.86,0.84
CUST_00000185,WLQNX4203N,I1057125,UP9720175026631,ALH2034531,VERIFIED,0.94,0.94,0.88,0.95
CUST_00000186,TKJGK2798V,N/A,TS3720208924544,VKW1266261,VERIFIED,0.9,0.93,0.91,0.87
CUST_00000187,ABNEC2772E,N/A,N/A,N/A,VERIFIED,0.98,0.88,0.85,0.75
CUST_00000188,AFKUM3600Y,N/A,N/A,YBU0418881,VERIFIED,0.86,0.99,0.88,0.77
CUST_00000189,TGULT0475G,N/A,UP5020205236327,YES7514230,VERIFIED,0.96,0.94,0.87,0.89
CUST_00000190,RZGLA7532B,N/A,UP8920192600334,JCE0699606,VERIFIED,0.88,0.96,0.85,0.87
CUST_00000191,SUDGZ7784G,N/A,MH8920166009054,SGB7554553,VERIFIED,0.98,0.94,0.95,0.88
CUST_00000192,MWPWE5485O,A7578636,GJ9320119042190,N/A,VERIFIED,0.96,0.99,0.86,0.8
CUST_00000193,VERTE2430V,N/A,KA0620232177251,N/A,VERIFIED,0.9,0.91,0.94,0.81
CUST_00000194,EACEA6346S,N/A,TS0720153703114,PBY2480805,VERIFIED,0.94,0.93,0.91,0.79
CUST_00000195,YKJSV2003G,N/A,N/A,YCS5152617,VERIFIED,0.85,0.96,0.92,0.88
CUST_00000196,KCQJL6811M,Q3194339,GJ4820167224070,VIG5357349,VERIFIED,0.99,0.9,0.93,0.84
CUST_00000197,AAHAD8092K,A7989555,N/A,CLE2822355,VERIFIED,0.87,0.89,0.94,0.88
CUST_00000198,FCIMM8780U,J0837938,WB5420242022335,WFQ6073305,VERIFIED,0.88,0.92,0.86,0.83
CUST_00000199,DNFBT3455H,N2310503,KA5220187289552,UDD5461672,VERIFIED,0.88,0.94,0.96,0.9
CUST_00000200,BUIYC6433T,N/A,MH9920142839633,ZQZ4108137,VERIFIED,0.99,0.96,0.91,0.92
CUST_00000201,WCBYY8806D,N/A,TS5820170381651,ITF5756966,VERIFIED,0.87,0.96,0.85,0.87
CUST_00000202,JXNGB2624A,C3286808,WB3020168531891,ZCI8515490,VERIFIED,0.94,0.98,0.97,0.8
CUST_00000203,GNIKE3362Q,I8688805,TS2920125734221,N/A,VERIFIED,0.93,0.98,0.9,0.89
CUST_00000204,XRCJY6622E,N9935215,N/A,UWI7519919,VERIFIED,0.96,0.97,0.83,0.82
CUST_00000205,XIOYD3877N,N3786711,DL2420104477212,PPP2007184,VERIFIED,0.93,0.92,0.88,0.85
CUST_00000206,QEKME2499N,N/A,TN9620203402983,N/A,VERIFIED,0.99,0.98,0.85,0.96
CUST_00000207,TBYZW4342M,Y0733675,N/A,NWU5480953,VERIFIED,0.97,0.98,0.95,0.82
CUST_00000208,TONQB2338O,F4605184,KA2420229822183,YSD4415724,VERIFIED,0.9,1.0,0.92,0.94
CUST_00000209,GRXUS1143Q,W3759337,N/A,N/A,VERIFIED,0.93,0.97,0.85,0.87
CUST_00000210,XORDW1743Y,O2189070,UP6420180096479,PMF6446082,REJECTED,0.35,0.71,0.42,0.53
CUST_00000211,QVFEB3105T,J3019126,DL5920219713443,JAT3887804,VERIFIED,0.86,0.96,0.85,0.89
CUST_00000212,DWIKF2059Q,N/A,KA6220214818204,LWG5696474,VERIFIED,0.91,0.89,0.98,0.76
CUST_00000213,VWGHF1477G,N/A,N/A,UZK3560227,VERIFIED,0.87,0.92,0.84,0.91
CUST_00000214,INIAR3760F,G3369764,UP6920245622208,N/A,VERIFIED,0.94,0.92,0.92,0.87
CUST_00000215,MVYBN5650S,V3970183,WB8120182784506,N/A,VERIFIED,0.88,0.92,0.89,0.94
CUST_00000216,OKPWT7304P,N/A,N/A,WJV3513020,VERIFIED,0.92,0.88,0.86,0.92
CUST_00000217,NUXEI4833Y,D8961747,KA0120140738701,RPC4056353,REJECTED,0.67,0.66,0.58,0.32
CUST_00000218,XIFHI4112A,T5155298,TN2220115224049,PIL1461041,VERIFIED,0.86,0.94,0.84,0.82
CUST_00000219,PPVSQ3876R,N/A,KA9720227813072,OCU6036749,VERIFIED,0.91,0.97,0.96,0.97
CUST_00000220,DXGJE9383P,N/A,MH0920171893931,JLE7611873,VERIFIED,0.89,0.98,0.83,0.96
CUST_00000221,QUNKK6593K,N/A,TN8920197233472,ULU5260954,VERIFIED,0.94,0.95,0.83,0.87
CUST_00000222,PMOVE9018Y,M3602157,N/A,VTR4264282,VERIFIED,0.86,0.89,0.93,0.77
CUST_00000223,URXYS9956Q,M8809905,GJ1520234734686,N/A,VERIFIED,0.9,0.92,0.88,0.93
CUST_00000224,WGSKI3356P,N/A,DL2520186452435,VJK2810618,VERIFIED,0.94,0.97,0.86,0.75
CUST_00000225,RZDDU8869T,F4483240,N/A,MTS2950043,VERIFIED,0.94,0.93,0.85,0.78
CUST_00000226,PZCSN8725Q,N/A,N/A,XCM7906730,VERIFIED,0.86,1.0,0.95,0.82
CUST_00000227,IUMNM7497J,N/A,DL0520215101463,SOB4109862,VERIFIED,0.96,0.96,0.84,0.83
CUST_00000228,CNWHD2801F,N/A,DL8520176203658,VGS4783019,VERIFIED,0.91,0.95,0.97,0.81
CUST_00000229,EMZUG4627L,B6711337,TN4920206544297,N/A,VERIFIED,0.89,0.98,0.96,0.94
CUST_00000230,MDWAY4696B,N/A,KA6920205936251,YLX8320637,VERIFIED,0.97,0.97,0.94,0.9
CUST_00000231,TTPFI6156C,A4563720,KA0820193637716,N/A,VERIFIED,0.86,0.9,0.84,0.92
CUST_00000232,YQSDW1685F,N/A,KA9020124250269,HRB4976672,VERIFIED,0.95,0.95,0.91,0.87
CUST_00000233,UHBKZ2810G,T3615461,UP9220141732871,ABS7046003,VERIFIED,0.94,0.97,0.85,0.86
CUST_00000234,DIKAS7447Z,Z0236715,GJ4320205080613,KQY0590476,VERIFIED,0.86,0.93,0.95,0.8
CUST_00000235,EBJES8630U,N/A,N/A,LEA0923764,VERIFIED,0.9,0.97,0.91,0.75
CUST_00000236,ZVZAI3742U,N/A,UP8720239002007,DPY0164907,VERIFIED,0.98,0.92,0.87,0.78
CUST_00000237,DEBHU4158D,D4728489,N/A,N/A,VERIFIED,0.91,0.97,0.96,0.89
