Date,Particulars,Debit,Credit,Closing Balance
02-Feb-2026,UPI/CR/TXN945664/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,42.00,"46,244.25"
02-Feb-2026,UPI/CR/TXN157443/R_HALDER/YESB/Payment_fr_R_HALDER,,17.28,"46,261.53"
02-Feb-2026,UPI/CR/TXN823846/J_HALDER/YESB/Payment_fr_J_HALDER,,21.99,"46,283.52"
02-Feb-2026,UPI/CR/TXN781403/S_MALAKAR/YESB/Payment_fr_S_MALAKAR,,49.49,"46,333.01"
02-Feb-2026,UPI/CR/TXN593355/P_DEY/YESB/Payment_fr_P_DEY,,27.42,"46,360.43"
02-Feb-2026,UPI/DR/TXN773540/RELIANCE_RETAIL/HDFC/Payment_to_RELIANCE_RETAIL,329.86,,"46,030.57"
02-Feb-2026,UPI/DR/TXN900152/COCA_COLA_SUPPLY/HDFC/Payment_to_COCA_COLA_SUPPLY,50.25,,"45,980.32"
03-Feb-2026,UPI/CR/TXN171603/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,16.46,"45,996.78"
03-Feb-2026,UPI/CR/TXN734836/K_GANGULY/YESB/Payment_fr_K_GANGULY,,59.00,"46,055.78"
03-Feb-2026,UPI/CR/TXN912085/C_ROY/YESB/Payment_fr_C_ROY,,5.52,"46,061.30"
03-Feb-2026,UPI/CR/TXN183958/S_GHOSH/YESB/Payment_fr_S_GHOSH,,81.65,"46,142.95"
03-Feb-2026,UPI/CR/TXN610271/P_MANDAL/YESB/Payment_fr_P_MANDAL,,50.02,"46,192.97"
03-Feb-2026,UPI/DR/TXN228594/DELHI_SPICES/HDFC/Payment_to_DELHI_SPICES,281.08,,"45,911.89"
03-Feb-2026,UPI/CR/TXN576877/B_NATH/YESB/Payment_fr_B_NATH,,89.65,"46,001.54"
03-Feb-2026,UPI/CR/TXN656968/P_PAUL/YESB/Payment_fr_P_PAUL,,51.27,"46,052.81"
03-Feb-2026,UPI/CR/TXN401603/S_MUKHERJEE/YESB/Payment_fr_S_MUKHERJEE,,48.32,"46,101.13"
03-Feb-2026,UPI/CR/TXN699573/P_PAUL/YESB/Payment_fr_P_PAUL,,59.61,"46,160.74"
03-Feb-2026,UPI/CR/TXN468154/R_DHAR/YESB/Payment_fr_R_DHAR,,28.48,"46,189.22"
03-Feb-2026,UPI/CR/TXN638289/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,43.72,"46,232.94"
03-Feb-2026,UPI/DR/TXN265156/AMUL_MILK_AGENCY/HDFC/Payment_to_AMUL_MILK_AGENCY,120.32,,"46,112.62"
03-Feb-2026,UPI/CR/TXN490963/S_SOM/YESB/Payment_fr_S_SOM,,88.64,"46,201.26"
03-Feb-2026,UPI/CR/TXN174878/G_MODAK/YESB/Payment_fr_G_MODAK,,88.57,"46,289.83"
03-Feb-2026,UPI/CR/TXN423869/S_SOM/YESB/Payment_fr_S_SOM,,48.66,"46,338.49"
03-Feb-2026,UPI/CR/TXN527809/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,23.51,"46,362.00"
03-Feb-2026,UPI/CR/TXN929090/M_MITRA/YESB/Payment_fr_M_MITRA,,5.56,"46,367.56"
03-Feb-2026,UPI/CR/TXN427730/S_GHOSH/YESB/Payment_fr_S_GHOSH,,71.53,"46,439.09"
03-Feb-2026,UPI/CR/TXN364659/A_CHANDA/YESB/Payment_fr_A_CHANDA,,35.67,"46,474.76"
03-Feb-2026,UPI/CR/TXN489244/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,40.83,"46,515.59"
03-Feb-2026,UPI/DR/TXN827691/METRO_CASH_CARRY/HDFC/Payment_to_METRO_CASH_CARRY,102.13,,"46,413.46"
03-Feb-2026,UPI/CR/TXN416282/S_BHATTACHARYA/YESB/Payment_fr_S_BHATTACHARYA,,91.32,"46,504.78"
03-Feb-2026,UPI/CR/TXN355135/S_GHOSH/YESB/Payment_fr_S_GHOSH,,28.42,"46,533.20"
04-Feb-2026,UPI/CR/TXN862569/S_DUTA/YESB/Payment_fr_S_DUTA,,56.93,"46,590.13"
04-Feb-2026,UPI/CR/TXN915809/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,81.43,"46,671.56"
04-Feb-2026,UPI/DR/TXN230192/AMUL_MILK_AGENCY/HDFC/Payment_to_AMUL_MILK_AGENCY,119.39,,"46,552.17"
04-Feb-2026,UPI/CR/TXN535037/G_MODAK/YESB/Payment_fr_G_MODAK,,50.57,"46,602.74"
04-Feb-2026,UPI/CR/TXN145649/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,3.28,"46,606.02"
04-Feb-2026,UPI/CR/TXN154909/R_HALDER/YESB/Payment_fr_R_HALDER,,78.60,"46,684.62"
04-Feb-2026,UPI/CR/TXN586490/D_CHATTERJEE/YESB/Payment_fr_D_CHATTERJEE,,43.50,"46,728.12"
04-Feb-2026,UPI/CR/TXN445824/R_SHAW/YESB/Payment_fr_R_SHAW,,86.69,"46,814.81"
04-Feb-2026,UPI/CR/TXN232321/J_BOSE/YESB/Payment_fr_J_BOSE,,10.73,"46,825.54"
04-Feb-2026,UPI/CR/TXN755788/D_CHATTERJEE/YESB/Payment_fr_D_CHATTERJEE,,3.86,"46,829.40"
04-Feb-2026,UPI/CR/TXN997004/P_PAUL/YESB/Payment_fr_P_PAUL,,88.90,"46,918.30"
04-Feb-2026,UPI/CR/TXN779172/B_NATH/YESB/Payment_fr_B_NATH,,54.45,"46,972.75"
04-Feb-2026,UPI/CR/TXN820184/G_MODAK/YESB/Payment_fr_G_MODAK,,68.79,"47,041.54"
04-Feb-2026,UPI/CR/TXN755900/S_SARKAR/YESB/Payment_fr_S_SARKAR,,82.62,"47,124.16"
04-Feb-2026,UPI/CR/TXN421384/D_SEN/YESB/Payment_fr_D_SEN,,43.48,"47,167.64"
04-Feb-2026,UPI/CR/TXN638169/S_SOM/YESB/Payment_fr_S_SOM,,34.76,"47,202.40"
04-Feb-2026,UPI/CR/TXN485709/A_KUNDU/YESB/Payment_fr_A_KUNDU,,33.13,"47,235.53"
04-Feb-2026,UPI/CR/TXN213609/S_SOM/YESB/Payment_fr_S_SOM,,45.39,"47,280.92"
04-Feb-2026,UPI/CR/TXN629057/M_MITRA/YESB/Payment_fr_M_MITRA,,1.43,"47,282.35"
04-Feb-2026,UPI/CR/TXN779094/N_DAS/YESB/Payment_fr_N_DAS,,32.08,"47,314.43"
04-Feb-2026,UPI/CR/TXN565776/P_PAUL/YESB/Payment_fr_P_PAUL,,54.41,"47,368.84"
04-Feb-2026,UPI/CR/TXN714953/P_NASKAR/YESB/Payment_fr_P_NASKAR,,50.88,"47,419.72"
04-Feb-2026,UPI/CR/TXN787923/T_ROY/YESB/Payment_fr_T_ROY,,47.14,"47,466.86"
04-Feb-2026,UPI/CR/TXN553014/S_DUTA/YESB/Payment_fr_S_DUTA,,51.47,"47,518.33"
05-Feb-2026,UPI/CR/TXN170966/S_SOM/YESB/Payment_fr_S_SOM,,69.41,"47,587.74"
05-Feb-2026,UPI/CR/TXN925206/D_PAL/YESB/Payment_fr_D_PAL,,39.31,"47,627.05"
05-Feb-2026,UPI/CR/TXN581894/K_MALLICK/YESB/Payment_fr_K_MALLICK,,92.04,"47,719.09"
05-Feb-2026,UPI/CR/TXN752878/S_SOM/YESB/Payment_fr_S_SOM,,21.90,"47,740.99"
05-Feb-2026,UPI/CR/TXN633590/D_SEN/YESB/Payment_fr_D_SEN,,37.50,"47,778.49"
05-Feb-2026,UPI/CR/TXN628313/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,77.27,"47,855.76"
05-Feb-2026,UPI/CR/TXN745558/D_CHATTERJEE/YESB/Payment_fr_D_CHATTERJEE,,6.16,"47,861.92"
05-Feb-2026,UPI/DR/TXN127560/COCA_COLA_SUPPLY/HDFC/Payment_to_COCA_COLA_SUPPLY,454.45,,"47,407.47"
05-Feb-2026,UPI/DR/TXN553633/KOLKATA_GRAINS/HDFC/Payment_to_KOLKATA_GRAINS,317.80,,"47,089.67"
05-Feb-2026,UPI/CR/TXN803055/S_SOM/YESB/Payment_fr_S_SOM,,28.09,"47,117.76"
05-Feb-2026,UPI/CR/TXN595158/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,92.26,"47,210.02"
05-Feb-2026,UPI/CR/TXN494976/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,69.02,"47,279.04"
05-Feb-2026,UPI/CR/TXN599380/J_BOSE/YESB/Payment_fr_J_BOSE,,81.58,"47,360.62"
05-Feb-2026,UPI/CR/TXN619389/G_MODAK/YESB/Payment_fr_G_MODAK,,25.04,"47,385.66"
05-Feb-2026,UPI/CR/TXN763984/K_GANGULY/YESB/Payment_fr_K_GANGULY,,62.94,"47,448.60"
05-Feb-2026,UPI/CR/TXN180089/R_SHAW/YESB/Payment_fr_R_SHAW,,87.03,"47,535.63"
05-Feb-2026,UPI/CR/TXN456385/C_ROY/YESB/Payment_fr_C_ROY,,39.58,"47,575.21"
05-Feb-2026,UPI/CR/TXN648141/S_BHATTACHARYA/YESB/Payment_fr_S_BHATTACHARYA,,39.85,"47,615.06"
05-Feb-2026,UPI/CR/TXN582087/A_K_ROY/YESB/Payment_fr_A_K_ROY,,50.23,"47,665.29"
05-Feb-2026,UPI/CR/TXN127121/K_MALLICK/YESB/Payment_fr_K_MALLICK,,57.56,"47,722.85"
05-Feb-2026,UPI/CR/TXN156837/C_ROY/YESB/Payment_fr_C_ROY,,78.10,"47,800.95"
05-Feb-2026,UPI/CR/TXN938171/B_NATH/YESB/Payment_fr_B_NATH,,40.80,"47,841.75"
05-Feb-2026,UPI/DR/TXN615060/MOTHER_DAIRY_CO/HDFC/Payment_to_MOTHER_DAIRY_CO,64.06,,"47,777.69"
05-Feb-2026,UPI/CR/TXN681070/K_GANGULY/YESB/Payment_fr_K_GANGULY,,89.26,"47,866.95"
06-Feb-2026,UPI/CR/TXN929538/S_DUTA/YESB/Payment_fr_S_DUTA,,34.86,"47,901.81"
06-Feb-2026,UPI/CR/TXN185461/M_GUHA/YESB/Payment_fr_M_GUHA,,82.55,"47,984.36"
06-Feb-2026,UPI/CR/TXN402630/B_PRAMANIK/YESB/Payment_fr_B_PRAMANIK,,9.78,"47,994.14"
06-Feb-2026,UPI/CR/TXN313446/P_NASKAR/YESB/Payment_fr_P_NASKAR,,25.44,"48,019.58"
06-Feb-2026,UPI/CR/TXN878325/P_MANDAL/YESB/Payment_fr_P_MANDAL,,53.96,"48,073.54"
06-Feb-2026,UPI/CR/TXN495019/R_HALDER/YESB/Payment_fr_R_HALDER,,6.81,"48,080.35"
06-Feb-2026,UPI/CR/TXN327823/S_SOM/YESB/Payment_fr_S_SOM,,79.00,"48,159.35"
06-Feb-2026,UPI/CR/TXN970813/S_BASU/YESB/Payment_fr_S_BASU,,23.69,"48,183.04"
06-Feb-2026,UPI/CR/TXN570711/P_MANDAL/YESB/Payment_fr_P_MANDAL,,20.49,"48,203.53"
06-Feb-2026,UPI/CR/TXN572387/C_ROY/YESB/Payment_fr_C_ROY,,3.35,"48,206.88"
06-Feb-2026,UPI/CR/TXN656329/R_HALDER/YESB/Payment_fr_R_HALDER,,66.63,"48,273.51"
06-Feb-2026,UPI/CR/TXN329642/R_DHAR/YESB/Payment_fr_R_DHAR,,72.77,"48,346.28"
06-Feb-2026,UPI/CR/TXN258290/A_CHANDA/YESB/Payment_fr_A_CHANDA,,73.81,"48,420.09"
06-Feb-2026,UPI/CR/TXN122394/R_HALDER/YESB/Payment_fr_R_HALDER,,23.47,"48,443.56"
06-Feb-2026,UPI/CR/TXN346205/S_GHOSH/YESB/Payment_fr_S_GHOSH,,51.81,"48,495.37"
06-Feb-2026,UPI/DR/TXN567951/NESTLE_INDIA/HDFC/Payment_to_NESTLE_INDIA,132.79,,"48,362.58"
06-Feb-2026,UPI/CR/TXN656379/B_NATH/YESB/Payment_fr_B_NATH,,83.59,"48,446.17"
06-Feb-2026,UPI/CR/TXN127529/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,90.31,"48,536.48"
06-Feb-2026,UPI/CR/TXN563688/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,8.69,"48,545.17"
06-Feb-2026,UPI/CR/TXN485415/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,72.35,"48,617.52"
06-Feb-2026,UPI/DR/TXN813145/COCA_COLA_SUPPLY/HDFC/Payment_to_COCA_COLA_SUPPLY,79.52,,"48,538.00"
06-Feb-2026,UPI/CR/TXN405420/G_MODAK/YESB/Payment_fr_G_MODAK,,52.56,"48,590.56"
06-Feb-2026,UPI/CR/TXN117233/A_CHAKRABORTY/YESB/Payment_fr_A_CHAKRABORTY,,14.88,"48,605.44"
06-Feb-2026,UPI/CR/TXN994217/B_NATH/YESB/Payment_fr_B_NATH,,45.66,"48,651.10"
07-Feb-2026,UPI/CR/TXN857537/RAM_SEN/YESB/Payment_fr_RAM_SEN,,59.43,"48,710.53"
07-Feb-2026,UPI/CR/TXN258189/K_GANGULY/YESB/Payment_fr_K_GANGULY,,64.69,"48,775.22"
07-Feb-2026,UPI/CR/TXN192337/S_MUKHERJEE/YESB/Payment_fr_S_MUKHERJEE,,15.89,"48,791.11"
07-Feb-2026,UPI/DR/TXN848022/KOLKATA_GRAINS/HDFC/Payment_to_KOLKATA_GRAINS,114.54,,"48,676.57"
07-Feb-2026,UPI/DR/TXN668507/HUL_DISTRIBUTORS/HDFC/Payment_to_HUL_DISTRIBUTORS,54.15,,"48,622.42"
07-Feb-2026,UPI/CR/TXN626169/S_BHATTACHARYA/YESB/Payment_fr_S_BHATTACHARYA,,79.82,"48,702.24"
07-Feb-2026,UPI/CR/TXN572407/P_NASKAR/YESB/Payment_fr_P_NASKAR,,46.19,"48,748.43"
07-Feb-2026,UPI/CR/TXN239890/M_GUHA/YESB/Payment_fr_M_GUHA,,58.36,"48,806.79"
07-Feb-2026,UPI/CR/TXN844261/P_PAUL/YESB/Payment_fr_P_PAUL,,84.66,"48,891.45"
07-Feb-2026,UPI/CR/TXN251716/S_BASU/YESB/Payment_fr_S_BASU,,62.43,"48,953.88"
07-Feb-2026,UPI/CR/TXN811332/T_SAMANTA/YESB/Payment_fr_T_SAMANTA,,62.05,"49,015.93"
07-Feb-2026,UPI/DR/TXN702826/AMUL_MILK_AGENCY/HDFC/Payment_to_AMUL_MILK_AGENCY,210.62,,"48,805.31"
07-Feb-2026,UPI/CR/TXN666211/K_GANGULY/YESB/Payment_fr_K_GANGULY,,50.02,"48,855.33"
07-Feb-2026,UPI/CR/TXN811875/M_GUHA/YESB/Payment_fr_M_GUHA,,23.74,"48,879.07"
07-Feb-2026,UPI/CR/TXN461888/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,1.98,"48,881.05"
07-Feb-2026,UPI/CR/TXN139581/S_BHATTACHARYA/YESB/Payment_fr_S_BHATTACHARYA,,22.10,"48,903.15"
07-Feb-2026,UPI/CR/TXN671971/P_DEY/YESB/Payment_fr_P_DEY,,76.99,"48,980.14"
07-Feb-2026,UPI/CR/TXN878086/S_MALAKAR/YESB/Payment_fr_S_MALAKAR,,1.08,"48,981.22"
07-Feb-2026,UPI/CR/TXN951201/S_SOM/YESB/Payment_fr_S_SOM,,81.78,"49,063.00"
07-Feb-2026,UPI/CR/TXN242254/A_CHAKRABORTY/YESB/Payment_fr_A_CHAKRABORTY,,66.70,"49,129.70"
07-Feb-2026,UPI/CR/TXN442589/D_SEN/YESB/Payment_fr_D_SEN,,91.04,"49,220.74"
07-Feb-2026,UPI/CR/TXN116547/A_CHANDA/YESB/Payment_fr_A_CHANDA,,92.13,"49,312.87"
07-Feb-2026,UPI/CR/TXN245121/R_HALDER/YESB/Payment_fr_R_HALDER,,21.12,"49,333.99"
07-Feb-2026,UPI/CR/TXN978157/T_ROY/YESB/Payment_fr_T_ROY,,92.13,"49,426.12"
08-Feb-2026,UPI/CR/TXN903373/M_GUHA/YESB/Payment_fr_M_GUHA,,26.07,"49,452.19"
08-Feb-2026,UPI/CR/TXN879414/S_MALAKAR/YESB/Payment_fr_S_MALAKAR,,89.33,"49,541.52"
08-Feb-2026,UPI/CR/TXN386042/R_SHAW/YESB/Payment_fr_R_SHAW,,16.04,"49,557.56"
08-Feb-2026,UPI/CR/TXN145767/C_ROY/YESB/Payment_fr_C_ROY,,40.73,"49,598.29"
08-Feb-2026,UPI/CR/TXN400009/A_KUNDU/YESB/Payment_fr_A_KUNDU,,88.90,"49,687.19"
08-Feb-2026,UPI/DR/TXN928766/DELHI_SPICES/HDFC/Payment_to_DELHI_SPICES,67.57,,"49,619.62"
08-Feb-2026,UPI/CR/TXN727086/M_MITRA/YESB/Payment_fr_M_MITRA,,35.58,"49,655.20"
08-Feb-2026,UPI/CR/TXN702980/K_GANGULY/YESB/Payment_fr_K_GANGULY,,12.48,"49,667.68"
08-Feb-2026,UPI/CR/TXN535050/A_K_ROY/YESB/Payment_fr_A_K_ROY,,52.60,"49,720.28"
08-Feb-2026,UPI/CR/TXN227324/D_CHATTERJEE/YESB/Payment_fr_D_CHATTERJEE,,29.74,"49,750.02"
08-Feb-2026,UPI/CR/TXN143941/A_KUNDU/YESB/Payment_fr_A_KUNDU,,47.25,"49,797.27"
08-Feb-2026,UPI/CR/TXN985506/J_HALDER/YESB/Payment_fr_J_HALDER,,66.83,"49,864.10"
08-Feb-2026,UPI/CR/TXN829884/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,35.64,"49,899.74"
08-Feb-2026,UPI/CR/TXN670913/S_SOM/YESB/Payment_fr_S_SOM,,17.94,"49,917.68"
08-Feb-2026,UPI/DR/TXN190403/ITC_FOODS/HDFC/Payment_to_ITC_FOODS,231.35,,"49,686.33"
08-Feb-2026,UPI/CR/TXN948343/S_BAG/YESB/Payment_fr_S_BAG,,38.99,"49,725.32"
08-Feb-2026,UPI/CR/TXN134985/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,43.69,"49,769.01"
08-Feb-2026,UPI/CR/TXN169113/M_GUHA/YESB/Payment_fr_M_GUHA,,42.72,"49,811.73"
08-Feb-2026,UPI/DR/TXN501451/RELIANCE_RETAIL/HDFC/Payment_to_RELIANCE_RETAIL,396.96,,"49,414.77"
08-Feb-2026,UPI/CR/TXN102805/R_SHAW/YESB/Payment_fr_R_SHAW,,47.20,"49,461.97"
08-Feb-2026,UPI/CR/TXN325583/S_BHATTACHARYA/YESB/Payment_fr_S_BHATTACHARYA,,73.02,"49,534.99"
08-Feb-2026,UPI/CR/TXN789275/B_PRAMANIK/YESB/Payment_fr_B_PRAMANIK,,74.38,"49,609.37"
08-Feb-2026,UPI/CR/TXN666456/D_PAL/YESB/Payment_fr_D_PAL,,28.39,"49,637.76"
08-Feb-2026,UPI/CR/TXN882824/D_SEN/YESB/Payment_fr_D_SEN,,39.55,"49,677.31"
09-Feb-2026,UPI/CR/TXN411797/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,59.47,"49,736.78"
09-Feb-2026,UPI/CR/TXN643623/A_KUNDU/YESB/Payment_fr_A_KUNDU,,71.98,"49,808.76"
09-Feb-2026,UPI/CR/TXN678727/M_GUHA/YESB/Payment_fr_M_GUHA,,66.92,"49,875.68"
09-Feb-2026,UPI/CR/TXN986209/J_HALDER/YESB/Payment_fr_J_HALDER,,15.08,"49,890.76"
09-Feb-2026,UPI/CR/TXN483629/A_CHAKRABORTY/YESB/Payment_fr_A_CHAKRABORTY,,31.99,"49,922.75"
09-Feb-2026,UPI/CR/TXN881886/B_NATH/YESB/Payment_fr_B_NATH,,86.38,"50,009.13"
09-Feb-2026,UPI/CR/TXN802559/M_GUHA/YESB/Payment_fr_M_GUHA,,54.26,"50,063.39"
09-Feb-2026,UPI/CR/TXN725185/B_PRAMANIK/YESB/Payment_fr_B_PRAMANIK,,43.07,"50,106.46"
09-Feb-2026,UPI/CR/TXN227767/T_ROY/YESB/Payment_fr_T_ROY,,72.46,"50,178.92"
09-Feb-2026,UPI/CR/TXN196168/J_HALDER/YESB/Payment_fr_J_HALDER,,57.90,"50,236.82"
09-Feb-2026,UPI/CR/TXN389282/S_MALAKAR/YESB/Payment_fr_S_MALAKAR,,62.75,"50,299.57"
09-Feb-2026,UPI/CR/TXN766269/J_BOSE/YESB/Payment_fr_J_BOSE,,91.14,"50,390.71"
09-Feb-2026,UPI/CR/TXN762423/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,12.01,"50,402.72"
09-Feb-2026,UPI/CR/TXN570392/P_BANERJEE/YESB/Payment_fr_P_BANERJEE,,77.10,"50,479.82"
09-Feb-2026,UPI/CR/TXN559023/D_CHATTERJEE/YESB/Payment_fr_D_CHATTERJEE,,90.03,"50,569.85"
09-Feb-2026,UPI/CR/TXN940181/A_KUNDU/YESB/Payment_fr_A_KUNDU,,56.16,"50,626.01"
09-Feb-2026,UPI/CR/TXN134225/D_SEN/YESB/Payment_fr_D_SEN,,60.43,"50,686.44"
09-Feb-2026,UPI/CR/TXN311383/D_SEN/YESB/Payment_fr_D_SEN,,40.15,"50,726.59"
09-Feb-2026,UPI/CR/TXN119116/S_SOM/YESB/Payment_fr_S_SOM,,71.05,"50,797.64"
09-Feb-2026,UPI/CR/TXN346174/J_BOSE/YESB/Payment_fr_J_BOSE,,29.08,"50,826.72"
09-Feb-2026,UPI/DR/TXN245622/PARLE_PRODUCTS/HDFC/Payment_to_PARLE_PRODUCTS,365.29,,"50,461.43"
09-Feb-2026,UPI/CR/TXN136489/A_BAKSHI/YESB/Payment_fr_A_BAKSHI,,87.73,"50,549.16"
09-Feb-2026,UPI/CR/TXN583550/N_DAS/YESB/Payment_fr_N_DAS,,29.47,"50,578.63"
09-Feb-2026,UPI/CR/TXN284171/C_ROY/YESB/Payment_fr_C_ROY,,9.94,"50,588.57"
10-Feb-2026,UPI/CR/TXN469412/S_DUTA/YESB/Payment_fr_S_DUTA,,10.26,"50,598.83"
10-Feb-2026,UPI/CR/TXN558176/S_SOM/YESB/Payment_fr_S_SOM,,68.11,"50,666.94"
10-Feb-2026,UPI/DR/TXN231414/SUDIP_DISTRIBUTORS/HDFC/Payment_to_SUDIP_DISTRIBUTORS,40.36,,"50,626.58"
10-Feb-2026,UPI/CR/TXN154714/K_MALLICK/YESB/Payment_fr_K_MALLICK,,21.02,"50,647.60"
10-Feb-2026,UPI/CR/TXN754644/S_BASU/YESB/Payment_fr_S_BASU,,51.58,"50,699.18"
10-Feb-2026,UPI/CR/TXN387892/J_HALDER/YESB/Payment_fr_J_HALDER,,20.35,"50,719.53"
10-Feb-2026,UPI/CR/TXN130359/S_BASU/YESB/Payment_fr_S_BASU,,81.63,"50,801.16"
