Customer_ID,Full_Name,Gender,DOB,Age,Education,Occupation,Employer,Employment_Type,Industry,Annual_Income,Monthly_Income,Bank,IFSC,Account_Number,Account_Type,City,District,State,PIN,Customer_Segment,Savings_Balance,Credit_Card_Holder,Account_Open_Date,Nominee_Relation
CUST_00000027,Udarsh Dey,Male,1978-07-14,48,High School,Health promotion specialist,Krish-Borra,Self-Employed Business,Education,183862.76,15321.9,IndusInd Bank,INDB0003167,730855031651,Salary,Noida,Gautam Buddha Nagar,Uttar Pradesh,201903,Mass Market,9407.42,False,2017-02-02,Son
CUST_00000028,Chandran Bedi,Male,1990-07-01,36,High School,"Sound technician, broadcasting/film/video",Chander and Sons,Salaried - Govt,Government,453823.73,37818.64,Axis Bank,UTIB0002545,821970820395,Salary,Howrah,Howrah,West Bengal,711533,Mass Market,18371.66,True,2012-08-29,Son
CUST_00000029,Xavier Srivastava,Male,1967-09-19,58,Bachelor's,Oncologist,Gala Group,Salaried - Govt,Real Estate,1783703.21,148641.93,State Bank of India,SBIN0002612,542641960943,Savings,Ahmedabad,Ahmedabad,Gujarat,380354,Affluent,277323.44,True,2010-01-13,Father
CUST_00000030,Robert Lanka,Male,2004-10-03,21,Diploma,Unemployed,N/A,Unemployed,None,554659.55,46221.63,Axis Bank,UTIB0009786,252250635901,Salary,Kolkata,Kolkata,West Bengal,700385,Mass Market,48073.12,False,2022-07-24,Son
CUST_00000031,Luke Sampath,Male,1992-10-22,33,Bachelor's,"Surveyor, commercial/residential","Sur, Dubey and Gupta",Salaried - Private,Education,1105390.25,92115.85,HDFC Bank,HDFC0008260,704971771246,Savings,Bengaluru,Bengaluru Urban,Karnataka,560767,Affluent,59726.39,True,2014-09-30,Daughter
CUST_00000032,Barkha Bhat,Female,1995-06-24,31,Master's,Barista,Sood PLC,Self-Employed Business,Information Technology,186491.78,15540.98,HDFC Bank,HDFC0004872,547390899554,Savings,Lucknow,Lucknow,Uttar Pradesh,226318,Mass Market,69767.26,False,2024-09-15,Son
CUST_00000033,Zilmil Dugar,Female,1959-07-26,67,Master's,Rural practice surveyor,Grewal Inc,Self-Employed Business,Information Technology,341741.05,28478.42,ICICI Bank,ICIC0007209,389439657508,Savings,Lucknow,Lucknow,Uttar Pradesh,226533,Mass Market,64132.98,True,2019-07-09,Sibling
CUST_00000034,Jacob Raval,Male,1962-11-03,63,Master's,"Teacher, early years/pre",Baral PLC,Self-Employed Professional,Telecom,220814.13,18401.18,IndusInd Bank,INDB0008973,306823277527,Current,Hyderabad,Hyderabad,Telangana,500159,Mass Market,46895.53,False,2011-04-25,Daughter
CUST_00000035,Nakul Lal,Male,1967-03-23,59,Bachelor's,Interior and spatial designer,Lanka Group,Self-Employed Business,Telecom,1854628.33,154552.36,IndusInd Bank,INDB0001998,446809914267,Savings,Mumbai,Mumbai City,Maharashtra,400698,Affluent,330993.63,True,2012-02-04,Son
CUST_00000036,Netra Shankar,Female,1973-01-15,53,Master's,"Buyer, industrial",Shanker PLC,Self-Employed Business,Agriculture,6286202.23,523850.19,IndusInd Bank,INDB0003579,188080452706,Salary,New Delhi,New Delhi,Delhi,110709,HNI,1453184.22,False,2025-12-21,Spouse
CUST_00000037,Daksha Borah,Female,1984-07-19,42,Bachelor's,Risk manager,Deo-Palla,Self-Employed Business,Automobile,337744.84,28145.4,Axis Bank,UTIB0007615,726594012825,Savings,Madurai,Madurai,Tamil Nadu,625708,Mass Market,8860.68,True,2024-02-03,Spouse
CUST_00000038,Jason Pingle,Male,1971-06-03,55,Bachelor's,Primary school teacher,"Mittal, Wadhwa and Anand",Salaried - Private,Services,192810.1,16067.51,HDFC Bank,HDFC0007868,742773523346,Salary,Surat,Surat,Gujarat,395309,Mass Market,4726.42,False,2020-09-07,Sibling
CUST_00000039,Mason Chawla,Male,2005-05-26,21,High School,Contractor,D’Alia-Chhabra,Salaried - Govt,Telecom,988477.85,82373.15,Punjab National Bank,PUNB0004910,534932502545,Savings,Delhi,East Delhi,Delhi,110568,Affluent,299156.19,True,2021-11-16,Mother
CUST_00000040,Faras Magar,Male,1971-04-02,55,Bachelor's,"Engineer, materials","Oza, Jani and Lalla",Salaried - Govt,Banking & Finance,2356533.74,196377.81,State Bank of India,SBIN0008508,177738827541,Savings,Madurai,Madurai,Tamil Nadu,625371,Affluent,256520.14,False,2018-02-01,Father
CUST_00000041,Jeremiah Behl,Male,1961-05-28,65,Bachelor's,Pharmacologist,Basu-Aggarwal,Salaried - Private,Retail & E-commerce,584312.33,48692.69,HDFC Bank,HDFC0005002,410824752082,Salary,Delhi,East Delhi,Delhi,110953,Mass Market,63026.55,True,2015-05-03,Daughter
CUST_00000042,Dhruv Lala,Male,1965-01-02,61,High School,Private music teacher,"Sane, Andra and Choudhury",Salaried - Private,Telecom,480130.29,40010.86,Kotak Mahindra Bank,KKBK0009666,830178040304,Savings,Hyderabad,Hyderabad,Telangana,500999,Mass Market,50194.41,False,2011-03-16,Father
CUST_00000043,Falguni Banik,Female,1999-12-24,26,Bachelor's,Television floor manager,"Divan, Sani and Datta",Salaried - Govt,Manufacturing,284047.02,23670.59,HDFC Bank,HDFC0002753,708779044123,Salary,Delhi,East Delhi,Delhi,110388,Mass Market,27986.01,False,2010-09-02,Daughter
CUST_00000044,Qabil Baral,Male,2003-04-28,23,High School,"Engineer, materials","Krish, Chauhan and Pandya",Salaried - Private,Education,539293.45,44941.12,Punjab National Bank,PUNB0004335,798737479634,Savings,Warangal,Warangal,Telangana,506357,Mass Market,53367.02,True,2022-06-25,Spouse
CUST_00000045,Samar Dubey,Male,2004-09-18,21,Bachelor's,Fast food restaurant manager,Goel Group,Salaried - Private,Banking & Finance,347371.99,28947.67,Bank of Baroda,BARB0005533,100189351213,Savings,Ahmedabad,Ahmedabad,Gujarat,380752,Mass Market,46957.06,True,2010-05-25,Mother
CUST_00000046,Ojas Sabharwal,Male,1998-04-19,28,Bachelor's,Fish farm manager,Dutta-Chokshi,Salaried - Govt,Healthcare,1785648.54,148804.05,Canara Bank,CNRB0008007,110999011248,Savings,Bengaluru,Bengaluru Urban,Karnataka,560807,Affluent,115173.77,False,2016-02-14,Father
CUST_00000047,Anirudh Singhal,Male,1968-03-02,58,Bachelor's,Pensioner,N/A,Retired,Government/Services,343031.37,28585.95,IndusInd Bank,INDB0001590,507311484139,Savings,Delhi,East Delhi,Delhi,110230,Mass Market,48960.04,False,2023-01-24,Spouse
CUST_00000048,Veda Palla,Female,1972-06-20,54,Bachelor's,Pensioner,N/A,Retired,Government/Services,3888012.62,324001.05,Kotak Mahindra Bank,KKBK0006974,146646362417,Savings,Ahmedabad,Ahmedabad,Gujarat,380798,HNI,545658.73,True,2022-09-22,Father
CUST_00000049,Ishaan Kapoor,Male,1957-11-02,68,Bachelor's,"Engineer, automotive",Narasimhan-Mallick,Salaried - Private,Automobile,534847.63,44570.64,HDFC Bank,HDFC0006794,717530897084,Salary,Kolkata,Kolkata,West Bengal,700342,Mass Market,3698.85,True,2023-10-30,Father
CUST_00000050,Liam Panchal,Male,1989-12-11,36,Bachelor's,Office manager,"Yadav, Narula and Bala",Salaried - Govt,Healthcare,1923127.88,160260.66,Bank of Baroda,BARB0001406,908224199827,Savings,Surat,Surat,Gujarat,395921,Affluent,371392.37,True,2011-11-05,Sibling
CUST_00000051,Leena Gokhale,Female,1986-10-12,39,Master's,Unemployed,N/A,Unemployed,None,336247.6,28020.63,Axis Bank,UTIB0005371,963972176017,Savings,Mysuru,Mysuru,Karnataka,570993,Mass Market,58678.15,False,2025-09-25,Spouse
CUST_00000052,Anjali Chopra,Female,1987-08-11,38,Bachelor's,Location manager,"Murthy, Sarin and Vaidya",Self-Employed Professional,Real Estate,785622.96,65468.58,Axis Bank,UTIB0004269,484229076692,Savings,Hyderabad,Hyderabad,Telangana,500328,Affluent,411021.16,False,2011-11-07,Spouse
CUST_00000053,Girish Kumar,Male,1958-12-01,67,Master's,Press photographer,Venkatesh PLC,Salaried - Private,Automobile,560260.43,46688.37,Axis Bank,UTIB0007528,406352552364,Savings,Mysuru,Mysuru,Karnataka,570459,Mass Market,8663.93,False,2020-12-27,Sibling
CUST_00000054,Indira Patla,Female,1979-01-09,47,Bachelor's,Lawyer,"Murthy, Dash and Mital",Salaried - Govt,Agriculture,303148.52,25262.38,Bank of Baroda,BARB0009785,224672594992,Salary,Hyderabad,Hyderabad,Telangana,500694,Mass Market,25992.51,False,2018-02-11,Mother
CUST_00000055,Tara Narain,Female,1977-07-09,49,Bachelor's,Hotel manager,"Datta, Handa and Salvi",Salaried - Private,Information Technology,204174.68,17014.56,HDFC Bank,HDFC0008119,900348631876,Savings,Surat,Surat,Gujarat,395720,Mass Market,42115.61,False,2020-08-21,Daughter
CUST_00000056,Sachi Ghosh,Female,1988-08-05,37,Bachelor's,Illustrator,Acharya-Modi,Salaried - Private,Banking & Finance,499834.47,41652.87,Bank of Baroda,BARB0004114,148338665100,Savings,Kolkata,Kolkata,West Bengal,700632,Mass Market,47129.92,True,2014-08-04,Daughter
CUST_00000057,Upasna Nagy,Female,1980-10-09,45,High School,Private music teacher,"Kala, Vaidya and Solanki",Self-Employed Business,Automobile,746427.81,62202.32,Axis Bank,UTIB0006967,174866852259,Current,Vadodara,Vadodara,Gujarat,390421,Affluent,83935.09,True,2022-09-12,Sibling
CUST_00000058,Frado Chad,Male,1971-05-11,55,Master's,Pensioner,N/A,Retired,Government/Services,40135127.41,3344593.95,HDFC Bank,HDFC0005920,441480490974,Savings,Howrah,Howrah,West Bengal,711512,Ultra HNI,10653970.47,False,2020-08-14,Sibling
CUST_00000059,Oliver Chander,Male,1999-02-20,27,Bachelor's,Farm manager,"Mukherjee, Kar and Issac",Self-Employed Business,Manufacturing,386902.54,32241.88,IndusInd Bank,INDB0003085,560385447606,Savings,Kolkata,Kolkata,West Bengal,700730,Mass Market,2828.82,True,2012-05-10,Daughter
CUST_00000060,Arin Konda,Male,2007-09-28,18,High School,Tree surgeon,Shah Group,Salaried - Govt,Manufacturing,1650063.78,137505.32,Bank of Baroda,BARB0009977,103580822352,Savings,Warangal,Warangal,Telangana,506315,Affluent,434869.02,True,2024-03-05,Son
CUST_00000061,Indali Rajagopalan,Female,1982-04-20,44,Diploma,Pensioner,N/A,Retired,Government/Services,587349.11,48945.76,IDFC FIRST Bank,IDFB0006279,587328413513,Salary,Kanpur,Kanpur Nagar,Uttar Pradesh,208318,Mass Market,5150.67,False,2013-11-26,Daughter
CUST_00000062,Aahana Chhabra,Other,1997-01-22,29,High School,English as a foreign language teacher,Vasa Group,Salaried - Govt,Real Estate,6375543.62,531295.3,ICICI Bank,ICIC0002389,663859569104,Salary,Ahmedabad,Ahmedabad,Gujarat,380938,HNI,1721737.14,False,2010-10-21,Father
CUST_00000063,Jeet Dara,Male,1980-04-30,46,Bachelor's,"Psychologist, forensic","Wali, Nadig and Savant",Self-Employed Business,Automobile,298004.54,24833.71,Kotak Mahindra Bank,KKBK0004680,318212526070,Salary,New Delhi,New Delhi,Delhi,110147,Mass Market,71380.04,False,2019-10-20,Father
CUST_00000064,Zayyan Sandhu,Male,1999-10-09,26,Bachelor's,Sports therapist,Dutt-Soman,Salaried - Private,Real Estate,374753.33,31229.44,IDFC FIRST Bank,IDFB0002193,557222530916,Savings,Madurai,Madurai,Tamil Nadu,625813,Mass Market,27794.71,True,2017-03-14,Son
CUST_00000065,Krishna Malhotra,Female,1996-05-28,30,Doctorate,"Scientist, research (life sciences)",Khare-Maharaj,Self-Employed Professional,Real Estate,310001.6,25833.47,Bank of Baroda,BARB0004997,817893352516,Salary,Mumbai,Mumbai City,Maharashtra,400897,Mass Market,61407.04,True,2017-01-14,Son
CUST_00000066,Mekhala Keer,Female,1970-09-24,55,Master's,Pensioner,N/A,Retired,Government/Services,1704147.35,142012.28,Axis Bank,UTIB0003881,669924601388,Current,Noida,Gautam Buddha Nagar,Uttar Pradesh,201670,Affluent,217297.21,False,2015-02-12,Father
CUST_00000067,Banjeet Devi,Male,1964-06-12,62,High School,Music therapist,"Dua, Kala and Bhatt",Salaried - Private,Banking & Finance,2377097.03,198091.42,Canara Bank,CNRB0003184,610248199023,Savings,Surat,Surat,Gujarat,395727,Affluent,110166.76,True,2016-08-21,Sibling
CUST_00000068,Oni Shukla,Female,1978-03-20,48,Master's,"Engineer, maintenance",Ramachandran-Bahri,Self-Employed Business,Agriculture,354224.19,29518.68,Bank of Baroda,BARB0009976,916727364232,Savings,Lucknow,Lucknow,Uttar Pradesh,226365,Mass Market,21958.72,False,2023-09-15,Father
CUST_00000069,Sachi Sood,Female,1956-11-30,69,Doctorate,Unemployed,N/A,Unemployed,None,502974.71,41914.56,Kotak Mahindra Bank,KKBK0009540,789276095704,Salary,Coimbatore,Coimbatore,Tamil Nadu,641550,Mass Market,70967.9,True,2015-08-18,Spouse
CUST_00000070,Robert Saini,Male,1984-07-30,42,High School,Pensioner,N/A,Retired,Government/Services,276029.98,23002.5,Kotak Mahindra Bank,KKBK0004841,466239227673,Savings,Vadodara,Vadodara,Gujarat,390182,Mass Market,51034.15,False,2021-10-02,Father
CUST_00000071,Imaran Sura,Male,1968-01-05,58,High School,Press photographer,Balakrishnan-Ramachandran,Self-Employed Professional,Healthcare,504373.72,42031.14,Axis Bank,UTIB0007275,270484216305,Salary,Chennai,Chennai,Tamil Nadu,600524,Mass Market,39971.94,False,2015-05-19,Son
CUST_00000072,Samaksh Gandhi,Male,2000-04-14,26,Master's,Conference centre manager,"Walla, Bala and Ramesh",Salaried - Private,Retail & E-commerce,192088.72,16007.39,IndusInd Bank,INDB0008633,166210246191,Savings,Coimbatore,Coimbatore,Tamil Nadu,641498,Mass Market,57125.02,False,2019-06-21,Daughter
CUST_00000073,Amara Chacko,Female,1990-01-04,36,Diploma,Control and instrumentation engineer,Gopal-Bedi,Salaried - Private,Telecom,327246.77,27270.56,State Bank of India,SBIN0007232,106343579654,Savings,Surat,Surat,Gujarat,395871,Mass Market,45063.99,True,2014-03-01,Son
CUST_00000074,Omisha Kakar,Female,1980-03-28,46,Diploma,Leisure centre manager,Mall-Sama,Salaried - Govt,Government,1313777.01,109481.42,IndusInd Bank,INDB0009947,764860371203,Salary,Coimbatore,Coimbatore,Tamil Nadu,641324,Affluent,298834.68,False,2014-01-14,Mother
CUST_00000075,Banjeet Singhal,Male,1957-08-13,68,Master's,"Solicitor, Scotland",Palla and Sons,Salaried - Private,Government,372837.02,31069.75,Canara Bank,CNRB0001475,471037316428,Savings,Kolkata,Kolkata,West Bengal,700960,Mass Market,73542.38,True,2020-05-26,Son
CUST_00000076,Anmol Balasubramanian,Male,2005-12-15,20,Diploma,"Engineer, communications",Dua and Sons,Salaried - Private,Healthcare,233779.25,19481.6,IDFC FIRST Bank,IDFB0009751,750232365798,Savings,Mumbai,Mumbai City,Maharashtra,400758,Mass Market,13088.9,False,2012-01-08,Son
CUST_00000077,Dakshesh Kamdar,Male,1980-10-10,45,High School,Furniture conservator/restorer,Ganesh-Contractor,Salaried - Private,Healthcare,1453130.95,121094.25,Canara Bank,CNRB0003977,383683812395,Savings,Howrah,Howrah,West Bengal,711316,Affluent,317023.1,True,2022-06-11,Son
CUST_00000078,Finn Mukhopadhyay,Male,1962-03-24,64,High School,Agricultural engineer,Prashad-Ranganathan,Salaried - Private,Retail & E-commerce,217255.06,18104.59,Punjab National Bank,PUNB0007211,925828823896,Savings,Howrah,Howrah,West Bengal,711954,Mass Market,10806.42,False,2025-01-23,Spouse
CUST_00000079,Hardik Borra,Male,1987-05-19,39,Bachelor's,Financial manager,Mitra Ltd,Salaried - Govt,Real Estate,196511.1,16375.93,State Bank of India,SBIN0009837,486340553307,Savings,Madurai,Madurai,Tamil Nadu,625170,Mass Market,60356.96,False,2019-08-10,Sibling
CUST_00000080,Darpan Barman,Male,1974-08-26,51,Master's,Pensioner,N/A,Retired,Government/Services,296288.61,24690.72,State Bank of India,SBIN0001508,374661490981,Salary,Chennai,Chennai,Tamil Nadu,600736,Mass Market,60852.69,False,2016-11-08,Father
CUST_00000081,Qasim Biswas,Male,1982-11-26,43,Diploma,Licensed conveyancer,Salvi Group,Salaried - Private,Education,439667.0,36638.92,ICICI Bank,ICIC0008758,227429355441,Savings,Coimbatore,Coimbatore,Tamil Nadu,641816,Mass Market,28930.7,False,2011-09-09,Mother
CUST_00000082,Pratyush Sharaf,Male,1993-05-13,33,Diploma,"Presenter, broadcasting",Vig Ltd,Self-Employed Professional,Retail & E-commerce,1521019.4,126751.62,ICICI Bank,ICIC0002876,217300018982,Savings,Pune,Pune,Maharashtra,411689,Affluent,262845.39,True,2014-04-28,Sibling
CUST_00000083,Wyatt Shroff,Male,1979-03-31,47,Diploma,"Therapist, drama",Naidu-Korpal,Salaried - Private,Government,188429.9,15702.49,Bank of Baroda,BARB0004249,748866464070,Savings,Chennai,Chennai,Tamil Nadu,600813,Mass Market,25511.78,False,2023-04-16,Mother
CUST_00000084,Caleb Mallick,Male,2002-06-04,24,High School,Financial planner,Raghavan-Nayar,Self-Employed Business,Automobile,465222.97,38768.58,IDFC FIRST Bank,IDFB0002983,961424120992,Savings,Pune,Pune,Maharashtra,411645,Mass Market,59609.5,True,2010-06-17,Son
CUST_00000085,Nicholas Gopal,Male,1981-12-11,44,Bachelor's,Marine scientist,Oak-Mammen,Self-Employed Professional,Automobile,233583.73,19465.31,Punjab National Bank,PUNB0002129,810842688886,Savings,Ahmedabad,Ahmedabad,Gujarat,380969,Mass Market,22715.64,False,2024-01-31,Son
CUST_00000086,Lakshit Anne,Male,1983-06-16,43,Bachelor's,"Engineer, aeronautical",Khurana Ltd,Salaried - Private,Real Estate,34230992.77,2852582.73,HDFC Bank,HDFC0008102,499263542423,Savings,Kanpur,Kanpur Nagar,Uttar Pradesh,208256,Ultra HNI,7456216.21,True,2016-07-02,Son
CUST_00000087,Jai Soni,Male,1990-03-05,36,High School,Recycling officer,Badal-Chander,Salaried - Private,Healthcare,252816.91,21068.08,IndusInd Bank,INDB0005425,987408586371,Savings,Lucknow,Lucknow,Uttar Pradesh,226546,Mass Market,67463.88,False,2014-09-16,Sibling
CUST_00000088,Samaksh Kohli,Male,1972-07-09,54,Bachelor's,Unemployed,N/A,Unemployed,None,347099.35,28924.95,IDFC FIRST Bank,IDFB0005397,198503450940,Salary,Warangal,Warangal,Telangana,506349,Mass Market,72771.34,False,2019-04-22,Son
CUST_00000089,Warjas Wali,Male,1974-06-22,52,High School,Statistician,Pandey-Setty,Self-Employed Professional,Services,6631397.99,552616.5,IDFC FIRST Bank,IDFB0007209,131509583569,Savings,Lucknow,Lucknow,Uttar Pradesh,226286,HNI,1600386.65,False,2014-05-02,Son
CUST_00000090,Jeremiah Kashyap,Male,1962-11-17,63,Diploma,"Engineer, automotive",Dar-Wason,Salaried - Private,Education,281812.09,23484.34,Punjab National Bank,PUNB0005232,406404422214,Savings,Hyderabad,Hyderabad,Telangana,500629,Mass Market,10383.09,False,2025-03-18,Father
CUST_00000091,George Handa,Male,1967-11-08,58,Bachelor's,Radio broadcast assistant,Vohra-Mandal,Salaried - Private,Banking & Finance,403687.56,33640.63,Axis Bank,UTIB0007658,711983781912,Savings,Madurai,Madurai,Tamil Nadu,625587,Mass Market,5783.12,True,2025-09-08,Sibling
CUST_00000092,Gunbir Minhas,Male,1968-06-06,58,Doctorate,Editorial assistant,Atwal-Walla,Salaried - Private,Telecom,1058353.18,88196.1,Canara Bank,CNRB0008342,120585489939,Salary,Mysuru,Mysuru,Karnataka,570326,Affluent,322601.09,False,2012-01-10,Son
